query,clicks,demand,sources,decision,notes
займ с плохой кредитной историей вам одобрено,2368,2377,zaim,,
займ на карту под залог автомобиля,2367,2995,zaim,,
займ на карту по паспорту,2364,2979,zaim,,
рокетмен займ,2361,4183,zaim,,
займ без отказа с плохой историей,2359,2176,zaim,,
до зарплаты оформить займ,2354,3024,zaim,,
займ по паспорту онлайн,2348,2790,zaim,,
рублион займ,2341,2537,zaim,,
денежные займы под залог автомобиля,2336,2847,zaim,,
займы без проверок,2329,3198,zaim,,
вивус займ,2319,6051,zaim,,
быстрый займ через госуслуги,2319,2068,zaim,,
займ на кредитную карту без отказа,2311,2535,zaim,,
получить займ,2310,3465,zaim,,
взять деньги под залог птс автомобиля,2310,3234,zaim,,
оформить займ онлайн,2309,3381,zaim,,
займ на карту новые мфо без отказа,2308,2555,zaim,,
микрозайм через госуслуги без отказов,2307,1950,"microzaim;zaim",,
т займ,2303,2724,zaim,,
лайк мани займ,2302,4128,zaim,,
экспресс займы creditulka,2296,1136,zaim,,
взять займ онлайн через госуслуги,2295,1813,zaim,,
твой займ,2293,2380,zaim,,
микрозайм госуслуги,2287,2006,"microzaim;zaim",,
лайк займ личный кабинет,2285,5004,zaim,,
займ онлайн на карту без отказа срочно,2277,2649,zaim,,
взять займ по паспорту,2269,2821,zaim,,
займы с высоким одобрением,2265,3210,zaim,,
юкки займ личный кабинет войти,2260,3027,zaim,,
кредит под залог авто автоломбарде,2259,2733,zaim,,
займ на карту без отказа 2025,2255,3250,zaim,,
займ на карту 100 процентов,2252,2783,zaim,,
деньги ок займ личный,2250,2409,zaim,,
свои люди займ,2249,8192,zaim,,
займы без отказа без проверки,2239,3134,zaim,,
займы онлайн без проверок,2239,2816,zaim,,
займы с плохой кредитной и просрочками,2231,1771,zaim,,
новые займы онлайн на карту без отказа,2218,2447,zaim,,
займы онлайн на карту по паспорту,2204,2797,zaim,,
займ онлайн срочно,2199,3277,zaim,,
займ быстрый на карту,2199,2787,zaim,,
займы онлайн на карту с плохой кредитной историей,2198,2183,zaim,,
займ быстро на карту без отказа,2193,2795,zaim,,
платиза займ,2192,5457,zaim,,
займы онлайн список,2189,2857,zaim,,
быстрый займ на карту онлайн t_me_top_zaim24,2189,1050,zaim,,
кредит онлайн на карту без отказа,2188,3752,zaim,,
топ микрозаймов,2188,3643,microzaim,,
займ на виртуальную карту,2183,2457,zaim,,
займ под залог недвижимости,2182,4419,zaim,,
топ займов онлайн,2181,3949,zaim,,
оформить займ под залог птс,2176,2896,zaim,,
взять онлайн займ на карту,2174,2766,zaim,,
займ денег,2156,3113,zaim,,
займ авто,2153,2663,zaim,,
займ на карту без отказа 100 процентов,2151,2813,zaim,,
займ на карту с плохой кредитной,2151,2318,zaim,,
займ онлайн через госуслуги на карту,2136,1932,"microzaim;zaim",,
взять займ на карту без отказа t_me_top_zaim24,2131,1095,zaim,,
получить деньги под залог машины,2122,2682,zaim,,
займ под залог птс в москве,2120,3197,zaim,,
займ быстро деньги,2116,2647,zaim,,
займ экспресс на карту,2116,2145,zaim,,
займ на карту без процентов вам одобрено,2116,2125,zaim,,
займ без процентов на карту t_me_top_zaim24,2116,1096,zaim,,
займ без отказа 100 процентов,2114,3084,zaim,,
займ без процентов без отказа на карту,2114,2639,zaim,,
займ с плохой кредитной историей без отказа t_me_top_zaim24,2108,1352,zaim,,
калькулятор займа,2097,2413,zaim,,
займы отзывы,2091,2470,zaim,,
смс финанс займ,2090,4083,zaim,,
займ для ип,2089,2647,zaim,,
займ без карты срочно,2081,2226,zaim,,
займ под залог птс авто в москве,2075,2622,zaim,,
все займы вам одобрено,2071,2081,zaim,,
займ срочно через госуслуги,2071,1877,"microzaim;zaim",,
все займы онлайн на карту без отказа,2061,2312,zaim,,
кредиттер займ личный кабинет,2051,2394,zaim,,
белка кредит займ личный кабинет,2050,6093,zaim,,
микрозаймы без отказа без проверки мгновенно,2046,2108,zaim,,
займ быстро,2045,3038,zaim,,
мгновенные займы,2036,2118,zaim,,
срочно деньги займ на карту без отказа,2035,2152,zaim,,
получить займ онлайн,2034,2660,zaim,,
новые займы на карту без отказа,2029,2488,zaim,,
микрозайм онлайн без карты choosingbestloan,2029,2173,microzaim,,
займ до зп,2027,2175,zaim,,
займ под птс авто в москве,2025,2607,zaim,,
новые займы creditulka,2025,981,zaim,,
оформить займ на карту без отказа,2023,2676,zaim,,
микро займ на карту,2014,4480,zaim,,
займ с плохой кредитной историей срочно,2011,2215,zaim,,
вебзайм личный,2003,6129,zaim,,
займы с просрочками,2003,3218,zaim,,
взять займ на карту без отказа срочно,2000,2470,zaim,,
займ на карту без отказа с плохой кредитной историей без проверок,1999,1892,zaim,,
займ до зарплаты вам одобрено,1989,2093,zaim,,
займ на карту без отказа без процентов,1988,2988,zaim,,
займ на карту с плохой кредитной историей срочно,1987,2133,zaim,,
деньги онлайн займ,1985,2605,zaim,,
займ на карту без отказа через госуслуги срочно,1978,1738,"microzaim;zaim",,
оформить микрозайм,1976,3198,microzaim,,
